State,Year,Percentage
New South Wales,2030,23
New South Wales,2050,23
New South Wales,2100,28
Victoria,2030,10
Victoria,2050,15
Victoria,2100,23
Queensland,2030,52
Queensland,2050,52
Queensland,2100,64
South Australia,2030,8
South Australia,2050,8
South Australia,2100,10
Western Australia,2030,11
Western Australia,2050,11
Western Australia,2100,12
Tasmania,2030,3
Tasmania,2050,3
Tasmania,2100,3
Northern Territory,2030,24
Northern Territory,2050,24
Northern Territory,2100,24
Australian Capital Territory,2030,0
Australian Capital Territory,2050,0
Australian Capital Territory,2100,0
